h_cty,w_cty,total jobs,h_lat,h_lon,h_cityname,UZA Population,Modes,Year,Trip_Count,ctyname,w_lat,w_lon
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7019932,-77.0595255
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.68726,-76.9572838
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6905479,-77.0618697
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5779204,-76.916457
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5783884,-76.9190752
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5408868,-76.9250891
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5422671,-76.9207985
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5353822,-76.9207706
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5363743,-76.9152454
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5339651,-76.921942
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.553939,-76.924084
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5488409,-76.9261349
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5555111,-76.9163458
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5494965,-76.9160169
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5353599,-76.9122057
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5338981,-76.9250745
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5621725,-76.9177707
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4669161,-76.9402284
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.524888,-76.9176545
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4700856,-76.9403003
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4743358,-76.9252026
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4767787,-76.9253761
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.478359,-76.9411871
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4797116,-76.9259053
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4948216,-76.9404424
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4684715,-76.9308527
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5077987,-76.9166892
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4739265,-76.9376815
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4933934,-76.9206738
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5142368,-76.9206561
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5120226,-76.9211899
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5098746,-76.9210704
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.482765,-76.9445177
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4836409,-76.9301793
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4740218,-76.9487034
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5181263,-76.9201646
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5023508,-76.9216452
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5079245,-76.9323074
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4612005,-76.9316489
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4869237,-76.9288028
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4707893,-76.9265027
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5152772,-76.9200083
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.48598,-76.9438828
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.497109,-76.9390164
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5215602,-76.9165065
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5201853,-76.9250336
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.52504,-76.9147032
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4913172,-76.9302823
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4941395,-76.9150085
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4909227,-76.9143592
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4865718,-76.9198105
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4879035,-76.9147109
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4716554,-76.9221682
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4916177,-76.9159143
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4691706,-76.9064226
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4730015,-76.9172889
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4756133,-76.9111602
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.484898,-76.9139354
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4697285,-76.922232
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4712717,-76.9197538
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4938385,-76.9167397
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4643992,-76.917609
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4692838,-76.9146929
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4742915,-76.9168086
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4720128,-76.9111279
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4709961,-76.9078997
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4892904,-76.9131561
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4999755,-76.9163028
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4622982,-76.915861
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4669209,-76.9065857
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.748914,-77.1554314
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7602549,-77.2332613
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.761371,-77.231883
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7614093,-77.2324298
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.748282,-77.1465401
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.759304,-77.1775676
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7595752,-77.212459
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7587097,-77.1657284
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7518892,-77.1949695
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7549009,-77.2098049
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7592472,-77.1926899
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.749836,-77.1678049
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7583711,-77.2199399
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7609532,-77.2284867
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7604084,-77.2219961
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7603978,-77.2297937
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7547894,-77.2219349
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7612265,-77.2263136
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.760743,-77.2246537
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7592793,-77.2248367
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7566029,-77.2295703
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7613071,-77.2253908
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7589839,-77.2339561
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7587785,-77.2222216
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7585802,-77.2262735
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7591911,-77.2273149
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7560824,-77.240018
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7598155,-77.2388471
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.7575909,-77.2388158
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6380594,-76.9265926
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6518031,-76.9211554
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6635047,-76.9433692
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6462382,-76.9327643
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6542104,-76.9389041
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6532366,-76.9233577
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5331172,-77.0935543
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.526996,-77.1008585
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5167678,-77.104099
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5116837,-77.0998517
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5128587,-77.1071133
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5141757,-77.1044932
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5140192,-77.1072376
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5153626,-77.1062717
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4921127,-77.0961588
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5207013,-77.0863373
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5083719,-77.0757072
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5097678,-77.1033665
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5164018,-77.1038477
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5160356,-77.107006
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4838409,-77.1070539
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5148998,-77.1070515
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5123343,-77.1058909
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5133349,-77.1059257
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5328292,-77.0997781
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5166541,-77.1058878
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5112571,-77.1058421
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5155986,-77.1044086
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5077369,-77.1059849
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5100701,-77.0846191
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5076219,-77.1064942
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5242607,-77.0816337
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4867545,-77.0499751
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5103483,-77.0174957
